institution,raw_es_category,canonical_es_category,source_url,notes
IFC,A - Significant,High,https://www.ifc.org/en/what-we-do/sector-expertise/sustainability/policies-and-standards/environmental-and-social-categorization,"IFC Category A: significant adverse impacts that are diverse, irreversible or unprecedented."
IFC,B - Limited,Moderate,https://www.ifc.org/en/what-we-do/sector-expertise/sustainability/policies-and-standards/environmental-and-social-categorization,"IFC Category B: limited adverse impacts, few, site-specific, largely reversible."
IFC,C - No Impact,Low,https://www.ifc.org/en/what-we-do/sector-expertise/sustainability/policies-and-standards/environmental-and-social-categorization,IFC Category C: minimal or no adverse impacts.
IFC,FI-1 - Significant,FI high,https://www.ifc.org/en/what-we-do/sector-expertise/sustainability/policies-and-standards/environmental-and-social-categorization,Financial intermediary with a portfolio carrying significant risk.
IFC,FI-2 - Limited,FI moderate,https://www.ifc.org/en/what-we-do/sector-expertise/sustainability/policies-and-standards/environmental-and-social-categorization,Financial intermediary with a portfolio carrying limited risk.
IFC,FI-3 - No Impact,FI low,https://www.ifc.org/en/what-we-do/sector-expertise/sustainability/policies-and-standards/environmental-and-social-categorization,Financial intermediary with a portfolio carrying minimal risk.
IFC,FI,,,"Generic 'financial intermediary' with no sub-category disclosed. Cannot be placed on a risk level without inventing one."
IFC,Other,,,No category disclosed.
DFC,A,High,https://www.dfc.gov/sites/default/files/media/documents/ESPP%202024.pdf,"ESPP 2024: 'may have significant adverse environmental and/or social impacts that are irreversible, sensitive, diverse, or unprecedented... considered high risk.'"
DFC,B,Moderate,https://www.dfc.gov/sites/default/files/media/documents/ESPP%202024.pdf,"ESPP 2024: 'limited adverse... generally site-specific, largely reversible, and readily addressed through mitigation measures. Category B Projects are considered medium risk.'"
DFC,C,Low,https://www.dfc.gov/sites/default/files/media/documents/ESPP%202024.pdf,ESPP 2024: 'likely to have minimal adverse environmental or social impacts. Category C Projects are considered low risk.'
DFC,FI A/Fund A,FI high,https://www.dfc.gov/sites/default/files/media/documents/ESPP%202024.pdf,"ESPP 2024 Category FI-A: proceeds expected to include exposure to activities with 'potentially significant adverse environmental or social risks or impacts that are diverse, irreversible, or unprecedented'."
DFC,FI B/Fund B,FI moderate,https://www.dfc.gov/sites/default/files/media/documents/ESPP%202024.pdf,"ESPP 2024 Category FI-B: exposure to activities with 'limited adverse... few in number, generally site-specific, largely reversible'; risks 'often characterized as moderate'."
DFC,FI C/Fund C,FI low,https://www.dfc.gov/sites/default/files/media/documents/ESPP%202024.pdf,"The remaining, lowest tier of the same three-tier FI table in ESPP 2024. FI-A and FI-B are quoted verbatim above; FI-C is placed by its position in that table rather than by a quotation, so treat it as the weakest of the three DFC mappings."
DFC,D,,,"NOT the low-risk class. DFC's ESPP 2024 direct-support table runs A/B/C only, with financial intermediaries handled in a separate FI table — there is no Category D in the current policy. These 102 rows predate it (the tracker's DFC data starts in 1960, covering the OPIC era). Left unmapped until an OPIC-era source defining Category D is loaded."
DFC,Redacted,,,DFC withheld the category on these records.
Proparco,A,High,https://www.afd.fr/sites/default/files/2018-02-11-56-19/Environmental-social-framework.pdf,"AFD Environmental and Social Framework: 'AFD classifies projects into the following four categories: High risks (A), Substantial risks (B+), Moderate risks (B) or Low risks (C).'"
Proparco,B+,Substantial,https://www.afd.fr/sites/default/files/2018-02-11-56-19/Environmental-social-framework.pdf,"AFD's 'Substantial risks (B+)'. This level exists in no other institution's scale here, which is exactly why the shared vocabulary has four direct levels rather than three — folding B+ into A or B would misstate 122 deals."
Proparco,B,Moderate,https://www.afd.fr/sites/default/files/2018-02-11-56-19/Environmental-social-framework.pdf,AFD's 'Moderate risks (B)'.
Proparco,C,Low,https://www.afd.fr/sites/default/files/2018-02-11-56-19/Environmental-social-framework.pdf,AFD's 'Low risks (C)'.
Proparco,IF-A,,,"Almost certainly a financial-intermediary class at AFD's 'A' risk level, but the AFD Environmental and Social Framework defines only A/B+/B/C and does not document the IF- prefix. Reading 'IF' as intermédiaire financier is inference, not a source. Fill in 'FI high' if you can cite AFD or Proparco defining it."
Proparco,IF-B,,,"As above — likely 'FI moderate'. Fill in only with a source."
Proparco,IF-C,,,"As above — likely 'FI low'. Fill in only with a source."
Proparco,Z,,,Meaning not documented in the source. Left unmapped.
Proparco,Pas de classement,,,French for 'no classification' — the source is explicitly saying no category was assigned.
AfDB,Category 1,High,https://www.afdb.org/fileadmin/uploads/afdb/Documents/Publications/SSS_%E2%80%93vol1_%E2%80%93_Issue4_-_EN_-_Environmental_and_Social_Assessment_Procedures__ESAP_.pdf,"ESAP (Nov 2015), OS 1 Category Definitions: 'Bank operations likely to cause significant environmental and social impacts. Category 1 projects are likely to induce significant, irreversible adverse environmental and / or social impacts.' Requires a full ESIA or SESA."
AfDB,Category 2,Moderate,https://www.afdb.org/fileadmin/uploads/afdb/Documents/Publications/SSS_%E2%80%93vol1_%E2%80%93_Issue4_-_EN_-_Environmental_and_Social_Assessment_Procedures__ESAP_.pdf,"ESAP (Nov 2015): 'likely to cause less adverse environmental and social impacts than Category 1... detrimental site-specific impacts... can be minimized by applying appropriate management and mitigation measures or incorporating internationally recognized design criteria.'"
AfDB,Category 3,Low,https://www.afdb.org/fileadmin/uploads/afdb/Documents/Publications/SSS_%E2%80%93vol1_%E2%80%93_Issue4_-_EN_-_Environmental_and_Social_Assessment_Procedures__ESAP_.pdf,"ESAP (Nov 2015): 'Bank operations with negligible adverse environmental and social risks... do not directly impact the environment adversely and are unlikely to induce adverse social impacts. They do not require an environmental and social assessment.'"
AfDB,Category 4,,,"ESAP (Nov 2015): 'Bank operations involving lending to Financial Intermediaries.' The label says the operation is an FI one but states no risk level on its own, and this vocabulary has no bare FI level - only FI high / FI moderate / FI low. 8 rows; left unmapped rather than assigned a risk level the source does not give."
AfDB,FI-A,,,"NOT defined in the 2015 ESAP, which sub-classifies financial intermediary operations as 4(1) / 4(2) / 4(3), not FI-A/B/C. The FI-A/B/C labels in the tracker come from a later AfDB scheme (the 2023 Integrated Safeguards System), which could not be read - afdb.org returns HTTP 403 to automated access and the ESAP above was retrieved by opening it in a browser. 26 rows."
AfDB,FI-B,,,"As above - a later AfDB scheme, not defined in the 2015 ESAP. 31 rows."
AfDB,FI-C,,,"As above - a later AfDB scheme, not defined in the 2015 ESAP. 3 rows."
IDB Invest,A,High,https://www.ifc.org/en/what-we-do/sector-expertise/sustainability/policies-and-standards/environmental-and-social-categorization,"Category A: significant adverse impacts. IDB Invest applies the same IFC-derived categorisation and uses the identical label, so the level is read across from IFC's published definition. IDB Invest's own policy could not be read directly - idbinvest.org returns HTTP 403 to automated access - so this is a read-across from an identical label, not a quotation of IDB Invest."
IDB Invest,B,Moderate,https://www.ifc.org/en/what-we-do/sector-expertise/sustainability/policies-and-standards/environmental-and-social-categorization,"Category B: limited adverse impacts, largely reversible. IDB Invest applies the same IFC-derived categorisation and uses the identical label, so the level is read across from IFC's published definition. IDB Invest's own policy could not be read directly - idbinvest.org returns HTTP 403 to automated access - so this is a read-across from an identical label, not a quotation of IDB Invest."
IDB Invest,C,Low,https://www.ifc.org/en/what-we-do/sector-expertise/sustainability/policies-and-standards/environmental-and-social-categorization,"Category C: minimal or no adverse impacts. IDB Invest applies the same IFC-derived categorisation and uses the identical label, so the level is read across from IFC's published definition. IDB Invest's own policy could not be read directly - idbinvest.org returns HTTP 403 to automated access - so this is a read-across from an identical label, not a quotation of IDB Invest."
IDB Invest,FI-1,FI high,https://www.ifc.org/en/what-we-do/sector-expertise/sustainability/policies-and-standards/environmental-and-social-categorization,"Financial intermediary whose portfolio carries significant risk. IDB Invest applies the same IFC-derived categorisation and uses the identical label, so the level is read across from IFC's published definition. IDB Invest's own policy could not be read directly - idbinvest.org returns HTTP 403 to automated access - so this is a read-across from an identical label, not a quotation of IDB Invest."
IDB Invest,FI-2,FI moderate,https://www.ifc.org/en/what-we-do/sector-expertise/sustainability/policies-and-standards/environmental-and-social-categorization,"Financial intermediary whose portfolio carries limited risk. IDB Invest applies the same IFC-derived categorisation and uses the identical label, so the level is read across from IFC's published definition. IDB Invest's own policy could not be read directly - idbinvest.org returns HTTP 403 to automated access - so this is a read-across from an identical label, not a quotation of IDB Invest."
IDB Invest,FI-3,FI low,https://www.ifc.org/en/what-we-do/sector-expertise/sustainability/policies-and-standards/environmental-and-social-categorization,"Financial intermediary whose portfolio carries minimal risk. IDB Invest applies the same IFC-derived categorisation and uses the identical label, so the level is read across from IFC's published definition. IDB Invest's own policy could not be read directly - idbinvest.org returns HTTP 403 to automated access - so this is a read-across from an identical label, not a quotation of IDB Invest."
FMO,A,High,https://www.afd.fr/sites/default/files/2018-02-11-56-19/Environmental-social-framework.pdf,"Highest of FMO's four levels. FMO's project pages label the field 'Environmental & Social Category (A, B+, B or C)' - the same four-level scale AFD/Proparco use, which is why it maps to the same four levels. Read across from that identical scale rather than quoted from an FMO policy document."
FMO,B+,Substantial,https://www.afd.fr/sites/default/files/2018-02-11-56-19/Environmental-social-framework.pdf,"Second of FMO's four levels. FMO's project pages label the field 'Environmental & Social Category (A, B+, B or C)' - the same four-level scale AFD/Proparco use, which is why it maps to the same four levels. Read across from that identical scale rather than quoted from an FMO policy document."
FMO,B,Moderate,https://www.afd.fr/sites/default/files/2018-02-11-56-19/Environmental-social-framework.pdf,"Third of FMO's four levels. FMO's project pages label the field 'Environmental & Social Category (A, B+, B or C)' - the same four-level scale AFD/Proparco use, which is why it maps to the same four levels. Read across from that identical scale rather than quoted from an FMO policy document."
FMO,C,Low,https://www.afd.fr/sites/default/files/2018-02-11-56-19/Environmental-social-framework.pdf,"Lowest of FMO's four levels. FMO's project pages label the field 'Environmental & Social Category (A, B+, B or C)' - the same four-level scale AFD/Proparco use, which is why it maps to the same four levels. Read across from that identical scale rather than quoted from an FMO policy document."
