institution,raw_instrument,canonical_instrument,canonical_detail,notes
IFC,Loan,Debt,,"IFC's 'Loan' does not distinguish senior from subordinated, so the family is Debt and the detail is left blank. It was previously stored as 'Senior debt', which asserted a seniority IFC never published - see the Ecobank Ghana Tier II row, a subordinated instrument recorded as senior."
IFC,Equity,Equity,,
IFC,Guarantee,Guarantee,,
IFC,Risk Management,,,"Hedging and derivative products. No equivalent in this project's instrument vocabulary, so deliberately left unmapped rather than forced into one."
DFC,Direct Lending,Debt,,
DFC,Unfunded Guaranty,Guarantee,,
DFC,Political Risk Insurance,Political risk insurance,,
DFC,Political Risk Insurance (Annex),Political risk insurance,,
DFC,Equity,Equity,,
DFC,Technical Assistance,Technical assistance / grant,,
DFC,Redacted,,,DFC withheld the instrument on these records.
EBRD,Debt,Debt,,"EBRD's 'Debt' is a single coarse bucket covering senior AND subordinated lending. It was previously collapsed to 'Senior debt' on the grounds that senior is the bulk of it; that made EBRD's subordinated activity invisible AND mislabelled it. Family Debt, detail blank."
EBRD,Equity,Equity,,
EBRD,Guarantee,Guarantee,,
EBRD,Debt + Equity,Debt,,Combined instrument: this deal counts as evidence for BOTH debt and equity.
EBRD,Debt + Equity,Equity,,Combined instrument - see the paired row.
EBRD,Debt + Guarantee,Debt,,Combined instrument - see the paired row.
EBRD,Debt + Guarantee,Guarantee,,Combined instrument - see the paired row.
EBRD,Equity + Guarantee,Equity,,Combined instrument - see the paired row.
EBRD,Equity + Guarantee,Guarantee,,Combined instrument - see the paired row.
EBRD,Debt + Equity + Guarantee,Debt,,Combined instrument - see the paired rows.
EBRD,Debt + Equity + Guarantee,Equity,,Combined instrument - see the paired rows.
EBRD,Debt + Equity + Guarantee,Guarantee,,Combined instrument - see the paired rows.
Proparco,Prêt,Debt,,"French for 'loan'. Like IFC's 'Loan' and EBRD's 'Debt' it does not distinguish senior from subordinated, so no detail is recorded."
Proparco,prêt durable,Debt,,'Sustainable loan' - a lower-case variant of Prêt in the source data. Seniority not stated.
Proparco,Prise de participation,Equity,,French for 'equity stake'.
Proparco,Prise de participation de 15 MUSD,Equity,,Equity. The deal size has been typed into the instrument field at source; the label is left verbatim rather than corrected.
Proparco,Fds Propres,Equity,,Abbreviation of 'fonds propres' (own funds / equity).
Proparco,Garantie,Guarantee,,French for 'guarantee'.
Proparco,garantie,Guarantee,,Lower-case variant of Garantie in the source data.
Proparco,Gar Donnée,Guarantee,,Abbreviation of 'garantie donnée' (guarantee given).
Proparco,Subvention,Technical assistance / grant,,French for 'grant'.
Proparco,Accompagnement technique,Technical assistance / grant,,French for 'technical support'.
Proparco,Obligation,Debt,,"French for 'bond'. A subscribed bond is debt; the source does not state where it ranks, so the detail is blank rather than assumed senior."
Proparco,Autres titres,,,"'Other securities' - too vague to place. Could be debt or equity, so deliberately unmapped."
Proparco,Prêt sousjacent des obligations souscrites par Proparco,,,"'Underlying loan of the bonds subscribed by Proparco' - a structure, not a clean instrument. One record; deliberately unmapped rather than forced."
IDB Invest,Loan,Debt,,"Like IFC's 'Loan' and EBRD's 'Debt', IDB Invest's 'Loan' does not state seniority."
IDB Invest,Equity,Equity,,
IDB Invest,Guarantee,Guarantee,,
IDB Invest,Loan & Equity,Debt,,Combined instrument: this deal counts as evidence for BOTH debt and equity.
IDB Invest,Loan & Equity,Equity,,Combined instrument - see the paired row.
IDB Invest,Loan & Guarantee,Debt,,Combined instrument - see the paired row.
IDB Invest,Loan & Guarantee,Guarantee,,Combined instrument - see the paired row.
IDB Invest,Project Finance Loan,Debt,,"A project-finance loan. Seniority is not stated, so no detail is recorded."
IDB Invest,Bond,Debt,,A subscribed bond. The source does not state seniority.
IDB Invest,Domestic Bond,Debt,,Local-currency bond subscription. Seniority not stated at source.
IDB Invest,International Bond,Debt,,Hard-currency bond subscription. Seniority not stated at source.
IDB Invest,Domestic Asset-Backed Security,Debt,,"A subscribed securitisation (social mortgage-backed). Debt by form. ABS tranches can be junior and the source does not say which, which is exactly why the detail is blank."
IDB Invest,Not Specified,,,"The source explicitly declines to state the instrument. Deliberately unmapped. (Several of these read as bond subscriptions in their project descriptions, but the instrument field itself says nothing, and inferring an instrument from a different field is not something this mapping does.)"
IDB Invest,Debt Fund Participation,,,"An anchor or limited-partner commitment to a third-party debt fund. Equity-like in form (an LP interest) but debt in underlying exposure, and the source does not say which it is recording. Deliberately unmapped rather than forced; see the note in data_dictionary.md about adding a fund-participation instrument if this matters."
IDB Invest,Fund,,,"Names a vehicle, not an instrument - the source says only that IDB Invest invested in a fund. Deliberately unmapped."
ADB,Loan,Debt,,ADB's 'Loan' does not state seniority.
ADB,Equity,Equity,,
ADB,Guarantee,Guarantee,,
ADB,Grant,Technical assistance / grant,,
ADB,TA,Technical assistance / grant,,ADB's abbreviation for technical assistance; the one record's own description calls it 'The technical assistance (TA)'.
ADB,EI,Equity,,ADB's abbreviation for equity investment; the one record's own description says ADB 'will make an equity investment of up to $50 million'.
AfDB,421 Standard loan,Debt,,"IATI finance type 421, from AfDB's own IATI feed rather than MapAfrica (which publishes no instrument) - see enrich_afdb_instruments.py. Like every other coarse loan label it does not state seniority."
AfDB,110 Standard grant,Technical assistance / grant,,"IATI finance type 110, from AfDB's own IATI feed. AfDB's concessional windows make far more grants than the private-sector DFIs, which is why this value is large here and rare elsewhere."
AfDB,912 Purchase of securities from issuing agencies,,,"IATI finance type 912. 'Securities' does not say debt or equity, so this is too vague to place - the same reading as Proparco's 'Autres titres'. Eight records; deliberately unmapped rather than forced."
