institution,source_url,canonical_instrument,canonical_detail,notes
IDB Invest,https://idbinvest.org/en/projects/sustainable-mobility-bond-mexico,Debt,senior,Subscription of a senior thematic bond. Seniority stated at source.
IDB Invest,https://idbinvest.org/en/projects/bicycle-growth-fund-i,Equity,,"LP interest in a private equity fund. Equity in form AND in underlying exposure, so unlike the credit-fund rows below it maps cleanly."
IDB Invest,https://idbinvest.org/en/projects/banco-sol-social-gender-bond-pcg,Guarantee,,"'The proposed transaction consists in a guarantee'. The bond is the client's issuance; IDB Invest's instrument is the credit support. Named a bond, but it is not one."
IDB Invest,https://idbinvest.org/en/projects/ecoenterprises-biodiversity-and-climate-fund,Equity,,Source states 'an equity investment' in the fund.
IDB Invest,https://idbinvest.org/en/projects/fedecredito-dpr-2023-women-entrepreneurs-empowerment-bond,Debt,,Subscription to a remittance-securitisation bond. Tranche seniority not stated - same caveat as the 'Domestic Asset-Backed Security' row in instrument_mapping.csv.
IDB Invest,https://idbinvest.org/en/projects/vinte-sustainable-bond-2023,Debt,,Anchor investor in a bond issuance. Seniority not stated, so no detail is recorded.
IDB Invest,https://idbinvest.org/en/projects/responsability-sustainable-food-latam-i,,,"LP interest in a fund that 'will make mezzanine investments'. Equity-like in form, debt in underlying exposure, and IDB Invest's own instrument is never stated. Deliberately unmapped, as for 'Debt Fund Participation'."
IDB Invest,https://idbinvest.org/en/projects/nazca-continuity-fund-i,Equity,,Source states 'an equity investment' in a venture-capital growth fund.
IDB Invest,https://idbinvest.org/en/projects/sura-corporate-private-debt-fund,,,LP interest in a private credit fund. Form and underlying exposure disagree; deliberately unmapped.
IDB Invest,https://idbinvest.org/en/projects/lac-gender-diversity-inclusion-fund,,,"Source calls it 'the first private debt Gender, Diversity & Inclusion fund in LAC'. A credit fund despite the equity-like LP form; deliberately unmapped."
IDB Invest,https://idbinvest.org/en/projects/banco-de-bogota-subordinated-sustainable-bond,Debt,subordinated,"Source states 'Tier II subordinated financing'. Mapping this to Senior debt would record the opposite of what the disclosure says, and this vocabulary has no non-senior debt value. Deliberately unmapped pending that decision. NOW MAPPED: the two-level model can record 'subordinated', which the old single-value vocabulary could not - this row was blank only for want of a slot."
IDB Invest,https://idbinvest.org/en/projects/social-bond-diversity-and-inclusion-cooperativa-jardin-azuayo,Debt,senior,Anchor investor in the 'first Senior Social Bond' in Ecuador. Seniority stated at source.
IDB Invest,https://idbinvest.org/en/projects/banco-bolivariano-blue-bond,Debt,,Anchor investor in a bond issuance. Seniority not stated.
IDB Invest,https://idbinvest.org/en/projects/credicorp-capital-private-debt-fund,,,"'A capital investment in ... Deuda Privada I', a private credit fund. Deliberately unmapped, as for the other credit funds."
IDB Invest,https://idbinvest.org/en/projects/hmb-partnership,Debt,senior,Source states 'a senior secured bond financing'.
IDB Invest,https://idbinvest.org/en/projects/promerica-es-bond,Debt,,Subscription to a sustainable bond programme. Seniority not stated.
IDB Invest,https://idbinvest.org/en/projects/rutas-27-bond,Debt,,"Bond issuance refinancing a highway PPP. IDB Invest publishes no description for this project, so the instrument is taken from the source's own project title. Seniority not stated."
IDB Invest,https://idbinvest.org/en/projects/refi-rumichaca-pasto-4g-toll-road,,,"The published page describes the road concession and never names the financing; it mentions mobilising institutional investor resources, so this may be a mobilisation structure rather than a direct IDB Invest instrument. Deliberately unmapped rather than guessed."
IDB Invest,https://idbinvest.org/en/projects/pichincha-gender-bond,Debt,senior,'First Senior Social Gender Bond issuance in Ecuador'. Seniority stated at source.
IDB Invest,https://idbinvest.org/en/projects/banking-institution-colombia-bank,Debt,,Purchase of social bonds issued by the client. Seniority not stated.
IDB Invest,https://idbinvest.org/en/projects/produbanco-sustainable-bond,Debt,,100% subscription of a bond series. Seniority not stated.
IDB Invest,https://idbinvest.org/en/projects/bncr-social-subordinated-bond,Debt,subordinated,Source states 'a social subordinated bond'. Deliberately unmapped - see the Banco de Bogota row. NOW MAPPED as subordinated - see the Banco de Bogota row.
IDB Invest,https://idbinvest.org/en/projects/cardal-punta-del-tigre-salto-t-line-b-bond,Debt,,"Instrument taken from the source's own project title; the published page describes only the transmission asset and the E&S review. The 'B' denotes the syndicated tranche of an A/B structure, which ranks pari passu rather than junior. The source still never states seniority, so the detail is blank. SEPARATE OPEN QUESTION: whether B-tranche amounts are IDB Invest's own money or mobilised third-party capital."
IDB Invest,https://idbinvest.org/en/projects/bbva-ur-subordinated-sustainable-bond,Debt,subordinated,Subordinated per the source's own project title; the published text is the E&S review only. Deliberately unmapped - see the Banco de Bogota row. NOW MAPPED as subordinated - see the Banco de Bogota row.
IDB Invest,https://idbinvest.org/en/projects/proyecto-dcm-17,Debt,,Subscription of a social bond. Seniority not stated.
IDB Invest,https://idbinvest.org/en/projects/guayaquil-social-bond,Debt,,100% subscription of a social bond. Seniority not stated.
IDB Invest,https://idbinvest.org/en/projects/banco-abc-social-bond,Debt,,Subscription of Letras Financeiras classified as social bonds. Seniority not stated.
IDB Invest,https://idbinvest.org/en/projects/dcm-project-15,Debt,,Subscription to a social gender bond issue. Seniority not stated.
IDB Invest,https://idbinvest.org/en/projects/aes-el-salvador-deferred-electricity-receivables-purchase-facility,Debt,receivables_facility,"A facility to PURCHASE accounts receivable. Funded exposure, but nobody borrows and nothing ranks - there is no seniority to state. No equivalent in this vocabulary, so deliberately unmapped, as for IFC's 'Risk Management'. NOW MAPPED: family Debt with detail 'receivables_facility', which names the structure without claiming a rank it does not have."
